"","YEAR","GEOID","A","B","C"
"584",1990,"220190031012",1210.12,1210.12,1210.12
"585",1990,"220190031013",1714,1714,1714
"586",1990,"220190031021",1242.06,1242.06,1242.06
"587",1990,"220190031022",814.94,814.94,814.94
"588",1990,"220190032001",2074.85,2074.85,2074.85
"589",1990,"220190033001",1707.1,1707.1,1707.1
"590",1990,"220190033002",961,961,961
"591",1990,"220190033003",772.03,772.03,772.03
"592",1990,"220190034001",680.28,680.28,680.28
"593",1990,"220190034002",1806.14,1806.14,1806.14
"594",1990,"220190035001",781,781,781
"595",1990,"220190035002",722,722,722
"596",1990,"220190035003",773,773,773
"597",1990,"220190035004",990,990,990
"598",1990,"220190036001",1363,1363,1363
"599",1990,"220190036002",1392,1392,1392
"600",1990,"220190036003",1490,1490,1490
"601",1990,"220199800001",0.96,0.96,0.96
"602",1990,"220199801001",0,0,0
"603",1990,"220210001001",992,992,992
"604",1990,"220210001002",731,731,731
"605",1990,"220210001003",801,801,801
"606",1990,"220210002001",717.7,717.7,717.7
"607",1990,"220210002002",1023,1023,1023
"608",1990,"220210002003",1472.3,1472.3,1472.3
"609",1990,"220210003001",1050,1050,1050
"610",1990,"220210003002",989,989,989
"611",1990,"220210003003",2034,2034,2034
"612",1990,"220239701001",1051.38,1051.38,1051.38
"613",1990,"220239701002",1008.94,1008.94,1008.94
"614",1990,"220239701003",830,830,830
"615",1990,"220239701004",1094,1094,1094
"616",1990,"220239701005",804.06,804.06,804.06
"617",1990,"220239702011",1668,1668,1668
"618",1990,"220239702012",778,778,778
"619",1990,"220239702013",2025.62,2025.62,2025.62
"620",1990,"220239900000",0,0,0
"621",1990,"220250001001",897,897,897
"622",1990,"220250001002",755.47,755.47,755.47
"623",1990,"220250001003",1330.91,1330.91,1330.91
"624",1990,"220250001004",1503,1503,1503
"625",1990,"220250002001",1676,1676,1676
"626",1990,"220250002002",1471.41,1471.41,1471.41
"627",1990,"220250003001",1263.27,1263.27,1263.27
"628",1990,"220250003002",2167,2167,2167
"629",1990,"220279501001",1330,1330,1330
"630",1990,"220279501002",854,854,854
"631",1990,"220279501003",1376,1376,1376
"632",1990,"220279502001",889,889,889
"633",1990,"220279502002",702,702,702
"634",1990,"220279502003",2200,2200,2200
"635",1990,"220279503001",1062,1062,1062
"636",1990,"220279503002",823,823,823
"637",1990,"220279503003",1209,1209,1209
"638",1990,"220279504001",1172,1172,1172
"639",1990,"220279504002",1541,1541,1541
"640",1990,"220279504003",1031,1031,1031
"641",1990,"220279504004",746,746,746
"642",1990,"220279505001",855,855,855
